,SEARCHVAL,LATITUDE,LONGITUDE
248,GREAT WORLD MRT STATION EXIT 4,1.29603027921362,103.833045201077
249,WOODLANDS MRT STATION EXIT 5,1.43598682920743,103.788988127958
250,WOODLANDS SOUTH MRT STATION EXIT 5,1.42583052834963,103.794395983627
251,MARINA BAY MRT STATION EXIT 5,1.27473699694694,103.854266062976
252,MAYFLOWER MRT STATION EXIT 5,1.37043838455734,103.836789792525
253,ORCHARD MRT STATION EXIT 5,1.30394302236087,103.8320430488
254,OUTRAM PARK MRT STATION EXIT 5,1.27894867380476,103.83954949493
255,STEVENS MRT STATION EXIT 5,1.32095990593562,103.826287218937
256,SHENTON WAY MRT STATION EXIT 5,1.27719445988297,103.851694867293
257,GREAT WORLD MRT STATION EXIT 5,1.29653335668464,103.833402514731
258,HAVELOCK MRT STATION EXIT 5,1.28958090478519,103.833922002929
259,UPPER THOMSON MRT STATION EXIT 5,1.35426639136676,103.832932946832
260,SHENTON WAY MRT STATION EXIT 6,1.27786975636086,103.849960669021
261,ORCHARD MRT STATION EXIT 6,1.30364928427869,103.832322061606
262,OUTRAM PARK MRT STATION EXIT 6,1.27906067064024,103.838545773973
263,WOODLANDS MRT STATION EXIT 6,1.43480148255035,103.789090551552
264,MAYFLOWER MRT STATION EXIT 6,1.3704639102426,103.836523118042
265,GREAT WORLD MRT STATION EXIT 6,1.29318404228583,103.832833227138
266,ORCHARD MRT STATION EXIT 7,1.30316753469189,103.832171601288
267,MAYFLOWER MRT STATION EXIT 7,1.37123308309389,103.836299092983
268,WOODLANDS MRT STATION EXIT 7,1.43444634414697,103.787996783139
269,OUTRAM PARK MRT STATION EXIT 7,1.28105154689657,103.838663749635
270,OUTRAM PARK MRT STATION EXIT 8,1.28231826124553,103.838127238955
271,ORCHARD MRT STATION EXIT 8,1.30343182339831,103.831774374348
272,ORCHARD MRT STATION EXIT 9,1.30364408561237,103.831486845307
273,UPPER CHANGI MRT STATION EXIT A,1.34187817311632,103.961328545289
