StationName,Lat,Lon,StationCode
COMMONWEALTH MRT STATION (EW20),1.30250199924325,103.798228523336,(EW20)
PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884,(CC9)
LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,(CC14)
CITY HALL MRT STATION (EW13 / NS25),1.29293672227779,103.852585580366,NS25)
CHINESE GARDEN MRT STATION (EW25),1.34235282081401,103.732596738363,(EW25)
REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205,(EW18)
TIONG BAHRU MRT STATION (EW17),1.28610253615775,103.827445112419,(EW17)
WOODLANDS SOUTH MRT STATION (TE3),1.42739605281442,103.79326432221,(TE3)
BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532,(CC15)
FORT CANNING MRT STATION (DT20),1.29248194822996,103.844331362465,(DT20)
MACPHERSON MRT STATION (CC10),1.32607760171665,103.890391305725,(CC10)
BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933,(EW12)
BUGIS MRT STATION (DT14),1.29931350344582,103.857125959023,(DT14)
BRAS BASAH MRT STATION (CC2),1.29686168649656,103.850667371637,(CC2)
ESPLANADE MRT STATION (CC3),1.2936577245386,103.855081226245,(CC3)
BENCOOLEN MRT STATION (DT21),1.29891843369422,103.850353762717,(DT21)
KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,(NS14)
UBI MRT STATION (DT27),1.32997425973974,103.899226655439,(DT27)
YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246,(NS13)
WOODLANDS MRT STATION (NS9),1.43681962961519,103.786066799253,(NS9)
ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249,(TE13)
TUAS LINK MRT STATION (EW33),1.34088242451105,103.636991425128,(EW33)
TAMPINES EAST MRT STATION (DT33),1.35619148271544,103.9546344625,(DT33)
WOODLANDS NORTH MRT STATION (TE1),1.44829245259621,103.785692682441,(TE1)
BISHAN MRT STATION (NS17),1.35083898784737,103.848143964542,(NS17)
HOLLAND VILLAGE MRT STATION (CC21),1.31224029631595,103.796399122407,(CC21)
LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,(EW26)
DAKOTA MRT STATION (CC8),1.30854798388121,103.889064718377,(CC8)
LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888,(EW11)
JALAN BESAR MRT STATION (DT22),1.3051713878069,103.855295713435,(DT22)
SERANGOON MRT STATION (CC13),1.35063361526525,103.872771660431,(CC13)
FARRER PARK MRT STATION (NE8),1.31190557325774,103.853477716509,(NE8)
NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021,(NS21)
LITTLE INDIA MRT STATION (NE7),1.30680019696174,103.849647059738,(NE7)
NEWTON MRT STATION (DT11),1.31399286264569,103.837714613091,(DT11)
LITTLE INDIA MRT STATION (DT12),1.30701826765224,103.848660935092,(DT12)
ORCHARD MRT STATION (TE14),1.30304426265194,103.831375000068,(TE14)
GREAT WORLD MRT STATION (TE15),1.29394816169384,103.833720837731,(TE15)
ORCHARD MRT STATION (NS22),1.30398013681715,103.832245244375,(NS22)
DHOBY GHAUT MRT STATION (NE6),1.29970458121203,103.845488542541,(NE6)
ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385,(EW9)
NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748,(NS20)
STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924,(DT10)
STEVENS MRT STATION (TE11),1.31933437435349,103.825566965234,(TE11)
BOTANIC GARDENS MRT STATION (DT9),1.32248807089544,103.816013994259,(DT9)
TAN KAH KEE MRT STATION (DT8),1.32555623519898,103.807760304729,(DT8)
FARRER ROAD MRT STATION (CC20),1.31743915158967,103.807379214161,(CC20)
SIXTH AVENUE MRT STATION (DT7),1.33085764536226,103.796906838288,(DT7)
ANG MO KIO MRT STATION (NS16),1.36993284962262,103.84955809232,(NS16)
CALDECOTT MRT STATION (CC17),1.33767450815619,103.839529820338,(CC17)
BUKIT BROWN MRT STATION (CC18),1.33372888295973,103.830689549849,(CC18)
MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403,(NS8)
SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378,(EW3)
BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286,(DT30)
EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255,(EW7)
PAYA LEBAR MRT STATION (EW8),1.31811149224527,103.893060771576,(EW8)
YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118,(NS15)
MOUNTBATTEN MRT STATION (CC7),1.30620190525331,103.882528081052,(CC7)
XILIN MRT STATION (DT36),1.32890694938858,103.964902569595,(DT36)
BOON LAY MRT STATION (EW27),1.33860405469845,103.706064622772,(EW27)
MARINE TERRACE MRT STATION (TE27),1.30666510344814,103.9151067005,(TE27)
BAYSHORE MRT STATION (TE29),1.31312248299118,103.942307986645,(TE29)
PIONEER MRT STATION (EW28),1.33758701106708,103.697321608474,(EW28)
HONG KAH MRT STATION (JS4),1.35812200829127,103.726153007988,(JS4)
BEDOK MRT STATION (EW5),1.32397996868158,103.929984495066,(EW5)
TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048,(NS19)
BOON KENG MRT STATION (NE9),1.31933570922514,103.861569454156,(NE9)
TAI SENG MRT STATION (CC11),1.33514150139202,103.888389300191,(CC11)
GEYLANG BAHRU MRT STATION (DT24),1.32130110228321,103.871622627142,(DT24)
POTONG PASIR MRT STATION (NE10),1.33137949021368,103.869055656782,(NE10)
WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915,(NE11)
MATTAR MRT STATION (DT25),1.32687671501334,103.883247509542,(DT25)
MAYFLOWER MRT STATION (TE6),1.37146318831015,103.836567766945,(TE6)
KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851,(EW6)
KATONG PARK MRT STATION (TE24),1.29783147778951,103.886178949925,(TE24)
TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,(EW4)
BEDOK SOUTH MRT STATION (TE30),1.31668400658419,103.94931120983,(TE30)
BEDOK NORTH MRT STATION (DT29),1.33474211664091,103.91797832995,(DT29)
UPPER CHANGI MRT STATION (DT34),1.34173977444995,103.961472788634,(DT34)
BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,(NS3)
HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,(DT3)
KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353,(NE13)
SERANGOON MRT STATION (NE12),1.34970788089564,103.873574849884,(NE12)
HOUGANG MRT STATION (NE14),1.37129226620797,103.892380513029,(NE14)
