car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BE26,BLK 207/212/216/217 BISHAN STREET 23,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.284730932292778,103.91916077756312
BE27,BLK 212A BISHAN STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2849064743979164,103.91991686059576
BE28,"BLK 213-215,218-227 BISHAN STREET 23",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2843219217203652,103.9211782289743
BE29,BLK 228-231 BISHAN STREET 23,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2821585295517952,103.92070810764088
BE3,BLK 401-408 SIN MING AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2705899020818214,103.9255871411472
BE3R,BLK 410A SIN MING AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.1,N,1.271666014892278,103.92640380560432
BE30,BLK 231A BISHAN STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2827065212187394,103.92071932829535
BE31,BLK 232-237 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2823541201283832,103.92211316763647
BE32,BLK 237A BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2829350638416441,103.92241538303537
BE33,BLK 238-245 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2810706593483059,103.9234085527077
BE34,BLK 246A BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.85,N,1.2798644425647492,103.9241937482253
BE35,BLK 246-256 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2793238111335068,103.92465041133909
BE36,BLK 278-281 BISHAN STREET 24,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.280784248618208,103.92075025009152
BE37,BLK 282 BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,1.95,N,1.280668944583123,103.92125971316767
BE38,BLK 283/284 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2808154995028838,103.92214466858806
BE39,BLK 263A BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.9,N,1.2782035941311642,103.92244042093935
BE4,BLK 101-116 BISHAN STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2846518629161636,103.90982162681999
BE40,BLK 268A BISHAN STREET 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.2788767949846083,103.92056737105833
BE42,BLK 290A BISHAN STREET 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2807971693609874,103.9188293189665
BE44,BLK 448A BRIGHT HILL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.2677957254814116,103.92108327479579
BE45,BLK 275 BISHAN STREET 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,6,2.15,N,1.27991715123945,103.91957103835917
BE5,BLK 117-134 BISHAN STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2872518369048238,103.90950560961788
